Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,"London Bloomsbury",,"London Eltham",,"London Harlington",,"London Marylebone Road",,"London N. Kensington",,"London Teddington Bushy Park",
Latitude,,51.466030,,51.522290,,51.452580,,51.488790,,51.522530,,51.521050,,51.425286,,
Longitude,,0.184806,,-0.125889,,0.070766,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,
Site Type,,Suburban Background,,Urban Background,,Suburban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,
Zone,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,
Agglomeration,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Bexley",,"Camden",,"Greenwich",,"Hillingdon",,"Westminster",,"Kensington",,"Richmond",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-02,15:00:00,35.3,V ugm-3 (TEOM FDMS),16.7,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),26.408,V ugm-3 (Ref.eq),23.7,V ugm-3 (TEOM FDMS),22.3,V ugm-3 (TEOM FDMS),20.6,V ugm-3 (TEOM FDMS)
2017-11-02,16:00:00,35.6,V ugm-3 (TEOM FDMS),24.2,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),27.637,V ugm-3 (Ref.eq),24.3,V ugm-3 (TEOM FDMS),25.1,V ugm-3 (TEOM FDMS),24.3,V ugm-3 (TEOM FDMS)
2017-11-02,17:00:00,38.5,V ugm-3 (TEOM FDMS),22.1,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),28.387,V ugm-3 (Ref.eq),31.8,V ugm-3 (TEOM FDMS),43.6,V ugm-3 (TEOM FDMS),26.6,V ugm-3 (TEOM FDMS)
2017-11-02,18:00:00,35.3,V ugm-3 (TEOM FDMS),21.5,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),27.653,V ugm-3 (Ref.eq),23.2,V ugm-3 (TEOM FDMS),26.9,V ugm-3 (TEOM FDMS),33.7,V ugm-3 (TEOM FDMS)
2017-11-02,19:00:00,29.5,V ugm-3 (TEOM FDMS),17.3,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),21.951,V ugm-3 (Ref.eq),23.7,V ugm-3 (TEOM FDMS),22.2,V ugm-3 (TEOM FDMS),32.9,V ugm-3 (TEOM FDMS)
2017-11-02,20:00:00,28.5,V ugm-3 (TEOM FDMS),21.3,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22.059,V ugm-3 (Ref.eq),26.9,V ugm-3 (TEOM FDMS),23.6,V ugm-3 (TEOM FDMS),29.3,V ugm-3 (TEOM FDMS)
2017-11-02,21:00:00,30.9,V ugm-3 (TEOM FDMS),36.3,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),50.967,V ugm-3 (Ref.eq),24.5,V ugm-3 (TEOM FDMS),27.2,V ugm-3 (TEOM FDMS),32.1,V ugm-3 (TEOM FDMS)
2017-11-02,22:00:00,34.6,V ugm-3 (TEOM FDMS),27.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),38.29,V ugm-3 (Ref.eq),30.6,V ugm-3 (TEOM FDMS),28.3,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS)
2017-11-02,23:00:00,38.2,V ugm-3 (TEOM FDMS),26.6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),27.611,V ugm-3 (Ref.eq),28.6,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS)
2017-11-02,24:00:00,38.6,V ugm-3 (TEOM FDMS),32.9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),28.13,V ugm-3 (Ref.eq),34.4,V ugm-3 (TEOM FDMS),32.5,V ugm-3 (TEOM FDMS),27.5,V ugm-3 (TEOM FDMS)
