Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,"Glasgow Townhead",
Latitude,,55.860936,,55.865782,,
Longitude,,-4.238214,,-4.243631,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,Central Scotland,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,"Glasgow",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-06,13:00:00,3.5,V ugm-3 (TEOM FDMS),7.007,V ugm-3 (TEOM FDMS)
2017-11-06,14:00:00,7.4,V ugm-3 (TEOM FDMS),6.612,V ugm-3 (TEOM FDMS)
2017-11-06,15:00:00,4.6,V ugm-3 (TEOM FDMS),6.612,V ugm-3 (TEOM FDMS)
2017-11-06,16:00:00,1.9,V ugm-3 (TEOM FDMS),6.513,V ugm-3 (TEOM FDMS)
2017-11-06,17:00:00,3.9,V ugm-3 (TEOM FDMS),4.737,V ugm-3 (TEOM FDMS)
2017-11-06,18:00:00,3.5,V ugm-3 (TEOM FDMS),5.428,V ugm-3 (TEOM FDMS)
2017-11-06,19:00:00,4.6,V ugm-3 (TEOM FDMS),6.316,V ugm-3 (TEOM FDMS)
2017-11-06,20:00:00,4.4,V ugm-3 (TEOM FDMS),8.389,V ugm-3 (TEOM FDMS)
2017-11-06,21:00:00,4,V ugm-3 (TEOM FDMS),4.737,V ugm-3 (TEOM FDMS)
2017-11-06,22:00:00,6.8,V ugm-3 (TEOM FDMS),7.796,V ugm-3 (TEOM FDMS)
2017-11-06,23:00:00,1.1,V ugm-3 (TEOM FDMS),4.244,V ugm-3 (TEOM FDMS)
2017-11-06,24:00:00,3.1,V ugm-3 (TEOM FDMS),5.428,V ugm-3 (TEOM FDMS)
2017-11-07,01:00:00,1,V ugm-3 (TEOM FDMS),6.217,V ugm-3 (TEOM FDMS)
2017-11-07,02:00:00,1.6,V ugm-3 (TEOM FDMS),5.131,V ugm-3 (TEOM FDMS)
2017-11-07,03:00:00,4.8,V ugm-3 (TEOM FDMS),5.822,V ugm-3 (TEOM FDMS)
2017-11-07,04:00:00,-2.5,V ugm-3 (TEOM FDMS),4.144,V ugm-3 (TEOM FDMS)
2017-11-07,05:00:00,-1.6,V ugm-3 (TEOM FDMS),2.862,V ugm-3 (TEOM FDMS)
2017-11-07,06:00:00,1.8,V ugm-3 (TEOM FDMS),2.566,V ugm-3 (TEOM FDMS)
2017-11-07,07:00:00,1,V ugm-3 (TEOM FDMS),4.243,V ugm-3 (TEOM FDMS)
2017-11-07,08:00:00,0.6,V ugm-3 (TEOM FDMS),3.552,V ugm-3 (TEOM FDMS)
2017-11-07,09:00:00,5.2,V ugm-3 (TEOM FDMS),2.171,V ugm-3 (TEOM FDMS)
2017-11-07,10:00:00,4.9,V ugm-3 (TEOM FDMS),6.414,V ugm-3 (TEOM FDMS)
2017-11-07,11:00:00,0.5,V ugm-3 (TEOM FDMS),5.131,V ugm-3 (TEOM FDMS)
2017-11-07,12:00:00,6.9,V ugm-3 (TEOM FDMS),4.44,V ugm-3 (TEOM FDMS)
2017-11-07,13:00:00,5.8,V ugm-3 (TEOM FDMS),4.638,V ugm-3 (TEOM FDMS)
2017-11-07,14:00:00,16.4,V ugm-3 (TEOM FDMS),6.809,V ugm-3 (TEOM FDMS)
2017-11-07,15:00:00,2.7,V ugm-3 (TEOM FDMS),5.822,V ugm-3 (TEOM FDMS)
2017-11-07,16:00:00,4,V ugm-3 (TEOM FDMS),4.638,V ugm-3 (TEOM FDMS)
2017-11-07,17:00:00,10,V ugm-3 (TEOM FDMS),7.795,V ugm-3 (TEOM FDMS)
2017-11-07,18:00:00,7.8,V ugm-3 (TEOM FDMS),8.289,V ugm-3 (TEOM FDMS)
2017-11-07,19:00:00,8.5,V ugm-3 (TEOM FDMS),5.92,V ugm-3 (TEOM FDMS)
2017-11-07,20:00:00,12.3,V ugm-3 (TEOM FDMS),7.598,V ugm-3 (TEOM FDMS)
2017-11-07,21:00:00,14.4,V ugm-3 (TEOM FDMS),11.742,V ugm-3 (TEOM FDMS)
2017-11-07,22:00:00,18.1,V ugm-3 (TEOM FDMS),14.703,V ugm-3 (TEOM FDMS)
2017-11-07,23:00:00,13.1,V ugm-3 (TEOM FDMS),13.617,V ugm-3 (TEOM FDMS)
2017-11-07,24:00:00,12.7,V ugm-3 (TEOM FDMS),14.999,V ugm-3 (TEOM FDMS)
2017-11-08,01:00:00,12.3,V ugm-3 (TEOM FDMS),16.476,V ugm-3 (TEOM FDMS)
2017-11-08,02:00:00,14.2,V ugm-3 (TEOM FDMS),12.135,V ugm-3 (TEOM FDMS)
2017-11-08,03:00:00,7.2,V ugm-3 (TEOM FDMS),13.714,V ugm-3 (TEOM FDMS)
2017-11-08,04:00:00,7.3,V ugm-3 (TEOM FDMS),10.754,V ugm-3 (TEOM FDMS)
2017-11-08,05:00:00,10.7,V ugm-3 (TEOM FDMS),8.09,V ugm-3 (TEOM FDMS)
2017-11-08,06:00:00,8.3,V ugm-3 (TEOM FDMS),8.781,V ugm-3 (TEOM FDMS)
2017-11-08,07:00:00,9.8,V ugm-3 (TEOM FDMS),9.077,V ugm-3 (TEOM FDMS)
2017-11-08,08:00:00,8.9,V ugm-3 (TEOM FDMS),6.808,V ugm-3 (TEOM FDMS)
2017-11-08,09:00:00,8.4,V ugm-3 (TEOM FDMS),10.655,V ugm-3 (TEOM FDMS)
2017-11-08,10:00:00,15.9,V ugm-3 (TEOM FDMS),18.055,V ugm-3 (TEOM FDMS)
2017-11-08,11:00:00,15.5,V ugm-3 (TEOM FDMS),16.279,V ugm-3 (TEOM FDMS)
2017-11-08,12:00:00,19.9,V ugm-3 (TEOM FDMS),14.306,V ugm-3 (TEOM FDMS)
2017-11-08,13:00:00,12.4,V ugm-3 (TEOM FDMS),10.951,V ugm-3 (TEOM FDMS)
2017-11-08,14:00:00,7.7,V ugm-3 (TEOM FDMS),7.597,V ugm-3 (TEOM FDMS)
2017-11-08,15:00:00,8.6,V ugm-3 (TEOM FDMS),10.162,V ugm-3 (TEOM FDMS)
2017-11-08,16:00:00,8.3,V ugm-3 (TEOM FDMS),9.077,V ugm-3 (TEOM FDMS)
2017-11-08,17:00:00,6.2,V ugm-3 (TEOM FDMS),6.906,V ugm-3 (TEOM FDMS)
2017-11-08,18:00:00,3.8,V ugm-3 (TEOM FDMS),6.314,V ugm-3 (TEOM FDMS)
2017-11-08,19:00:00,8.5,V ugm-3 (TEOM FDMS),7.498,V ugm-3 (TEOM FDMS)
2017-11-08,20:00:00,2.8,V ugm-3 (TEOM FDMS),4.341,V ugm-3 (TEOM FDMS)
